prefix,route,channel,serviceType,leadTime,days
AB10,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB11,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB12,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB13,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB14,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB15,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB16,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB21,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB22,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB23,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB24,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB25,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB30,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB31,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB32,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB33,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB34,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB35,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB36,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB37,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB38,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB39,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB41,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB42,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB43,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB44,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB45,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB51,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB52,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB53,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB54,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB55,3PLCO,Component Channel,One-person,3 Days,Wednesday
AB56,3PLCO,Component Channel,One-person,3 Days,Wednesday
HS1,3PLCO,Component Channel,One-person,5 Days,Wednesday
HS2,3PLCO,Component Channel,One-person,5 Days,Wednesday
HS3,3PLCO,Component Channel,One-person,5 Days,Wednesday
HS4,3PLCO,Component Channel,One-person,5 Days,Wednesday
HS5,3PLCO,Component Channel,One-person,5 Days,Wednesday
HS6,3PLCO,Component Channel,One-person,5 Days,Wednesday
HS7,3PLCO,Component Channel,One-person,5 Days,Wednesday
HS8,3PLCO,Component Channel,One-person,5 Days,Wednesday
HS9,3PLCO,Component Channel,One-person,5 Days,Wednesday
KW1,3PLCO,Component Channel,One-person,4 Days,Wednesday
KW2,3PLCO,Component Channel,One-person,4 Days,Wednesday
KW3,3PLCO,Component Channel,One-person,4 Days,Wednesday
KW5,3PLCO,Component Channel,One-person,4 Days,Wednesday
KW6,3PLCO,Component Channel,One-person,4 Days,Wednesday
KW7,3PLCO,Component Channel,One-person,4 Days,Wednesday
KW8,3PLCO,Component Channel,One-person,4 Days,Wednesday
KW9,3PLCO,Component Channel,One-person,4 Days,Wednesday
KW10,3PLCO,Component Channel,One-person,4 Days,Wednesday
KW11,3PLCO,Component Channel,One-person,4 Days,Wednesday
KW12,3PLCO,Component Channel,One-person,4 Days,Wednesday
KW13,3PLCO,Component Channel,One-person,4 Days,Wednesday
KW14,3PLCO,Component Channel,One-person,4 Days,Wednesday
KW15,3PLCO,Component Channel,One-person,4 Days,Wednesday
KW16,3PLCO,Component Channel,One-person,4 Days,Wednesday
KW17,3PLCO,Component Channel,One-person,4 Days,Wednesday
PA20,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA21,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA22,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA23,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA24,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA25,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA26,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA27,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA28,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA29,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA30,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA31,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA32,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA33,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA34,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA35,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA36,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA37,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA38,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA39,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA40,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA41,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA42,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA43,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA44,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA45,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA46,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA47,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA48,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA49,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA60,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA61,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA62,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA63,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA64,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA65,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA66,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA67,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA68,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA69,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA70,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA71,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA72,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA73,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA74,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA75,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA76,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA77,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA78,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA79,3PLCO,Component Channel,One-person,3 Days,Wednesday
PA80,3PLCO,Component Channel,One-person,3 Days,Wednesday
PH8,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH9,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH10,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH15,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH16,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH17,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH18,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH19,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH20,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH21,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH22,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH23,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH24,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH25,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH26,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH27,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH28,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH29,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH30,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH31,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH32,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH33,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH34,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH35,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH36,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH37,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH38,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH39,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH40,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH41,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH42,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH43,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH44,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH49,3PLCO,Component Channel,One-person,2 Days,Wednesday
PH50,3PLCO,Component Channel,One-person,2 Days,Wednesday
PO30,3PLCO,Component Channel,One-person,3 Days,Monday|Tuesday|Wednesday|Thursday|Friday
PO31,3PLCO,Component Channel,One-person,3 Days,Monday|Tuesday|Wednesday|Thursday|Friday
PO32,3PLCO,Component Channel,One-person,3 Days,Monday|Tuesday|Wednesday|Thursday|Friday
PO33,3PLCO,Component Channel,One-person,3 Days,Monday|Tuesday|Wednesday|Thursday|Friday
PO34,3PLCO,Component Channel,One-person,3 Days,Monday|Tuesday|Wednesday|Thursday|Friday
PO35,3PLCO,Component Channel,One-person,3 Days,Monday|Tuesday|Wednesday|Thursday|Friday
PO36,3PLCO,Component Channel,One-person,3 Days,Monday|Tuesday|Wednesday|Thursday|Friday
PO37,3PLCO,Component Channel,One-person,3 Days,Monday|Tuesday|Wednesday|Thursday|Friday
PO38,3PLCO,Component Channel,One-person,3 Days,Monday|Tuesday|Wednesday|Thursday|Friday
PO39,3PLCO,Component Channel,One-person,3 Days,Monday|Tuesday|Wednesday|Thursday|Friday
PO40,3PLCO,Component Channel,One-person,3 Days,Monday|Tuesday|Wednesday|Thursday|Friday
PO41,3PLCO,Component Channel,One-person,3 Days,Monday|Tuesday|Wednesday|Thursday|Friday
ZE1,3PLCO,Component Channel,One-person,5 Days,Wednesday
ZE2,3PLCO,Component Channel,One-person,5 Days,Wednesday
ZE3,3PLCO,Component Channel,One-person,5 Days,Wednesday
AB10,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB11,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB12,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB13,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB14,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB15,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB16,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB21,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB22,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB23,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB24,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB25,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB30,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB31,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB32,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB33,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB34,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB35,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB36,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB37,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB38,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB39,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB41,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB42,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB43,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB44,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB45,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB51,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB52,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB53,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB54,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB55,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
AB56,3PLCO,Jigsaw Channel,Two-person,5 Days,Wednesday
HS1,3PLCO,Jigsaw Channel,One-person,5 Days,Wednesday
HS2,3PLCO,Jigsaw Channel,One-person,5 Days,Wednesday
HS3,3PLCO,Jigsaw Channel,One-person,5 Days,Wednesday
HS4,3PLCO,Jigsaw Channel,One-person,5 Days,Wednesday
HS5,3PLCO,Jigsaw Channel,One-person,5 Days,Wednesday
HS6,3PLCO,Jigsaw Channel,One-person,5 Days,Wednesday
HS7,3PLCO,Jigsaw Channel,One-person,5 Days,Wednesday
HS8,3PLCO,Jigsaw Channel,One-person,5 Days,Wednesday
HS9,3PLCO,Jigsaw Channel,One-person,5 Days,Wednesday
IV1,3PLCO,Jigsaw Channel,One-person,5 Days,Wednesday
IV2,3PLCO,Jigsaw Channel,One-person,5 Days,Wednesday
IV3,3PLCO,Jigsaw Channel,One-person,5 Days,Wednesday
IV4,3PLCO,Jigsaw Channel,One-person,5 Days,Wednesday
IV5,3PLCO,Jigsaw Channel,One-person,5 Days,Wednesday
