prefix,route,channel,serviceType,leadTime,days
AB10,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB11,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB12,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB13,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB14,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB15,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB16,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB21,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB22,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB23,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB24,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB25,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB30,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB31,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB32,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB33,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB34,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB35,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB36,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB37,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB38,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB39,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB41,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB42,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB43,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB44,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB45,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB51,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB52,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB53,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB54,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB55,3PLCO,Component Channel,One-person,3 working days,Wednesday
AB56,3PLCO,Component Channel,One-person,3 working days,Wednesday
AL1,TKC25 London North West,Component Channel,One-person,2 working days,Monday|Wednesday
AL10,TKC25 London North West,Component Channel,One-person,2 working days,Monday|Wednesday
AL2,TKC25 London North West,Component Channel,One-person,2 working days,Monday|Wednesday
AL3,TKC25 London North West,Component Channel,One-person,2 working days,Monday|Wednesday
AL4,TKC25 London North West,Component Channel,One-person,2 working days,Monday|Wednesday
AL5,TKC25 London North West,Component Channel,One-person,2 working days,Monday|Wednesday
AL6,TKC25 London North West,Component Channel,One-person,2 working days,Monday|Wednesday
AL7,TKC25 London North West,Component Channel,One-person,2 working days,Monday|Wednesday
AL8,TKC25 London North West,Component Channel,One-person,2 working days,Monday|Wednesday
AL9,TKC25 London North West,Component Channel,One-person,2 working days,Monday|Wednesday
B20,TKC01 Birmingham West,Component Channel,One-person,1 working days,Monday|Wednesday|Thursday
B21,TKC01 Birmingham West,Component Channel,One-person,1 working days,Monday|Wednesday|Thursday
B62,TKC01 Birmingham West,Component Channel,One-person,1 working days,Monday|Wednesday|Thursday
B63,TKC01 Birmingham West,Component Channel,One-person,1 working days,Monday|Wednesday|Thursday
B64,TKC01 Birmingham West,Component Channel,One-person,1 working days,Monday|Wednesday|Thursday
B65,TKC01 Birmingham West,Component Channel,One-person,1 working days,Monday|Wednesday|Thursday
B66,TKC01 Birmingham West,Component Channel,One-person,1 working days,Monday|Wednesday|Thursday
B67,TKC01 Birmingham West,Component Channel,One-person,1 working days,Monday|Wednesday|Thursday
B68,TKC01 Birmingham West,Component Channel,One-person,1 working days,Monday|Wednesday|Thursday
B69,TKC01 Birmingham West,Component Channel,One-person,1 working days,Monday|Wednesday|Thursday
B70,TKC01 Birmingham West,Component Channel,One-person,1 working days,Monday|Wednesday|Thursday
B71,TKC01 Birmingham West,Component Channel,One-person,1 working days,Monday|Wednesday|Thursday
B77,TKC01 Birmingham North,Component Channel,One-person,1 working days,Tuesday|Thursday|Friday
B78,TKC01 Birmingham North,Component Channel,One-person,1 working days,Tuesday|Thursday|Friday
B79,TKC01 Birmingham North,Component Channel,One-person,1 working days,Tuesday|Thursday|Friday
B1,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B10,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B11,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B12,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B13,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B14,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B15,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B16,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B17,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B18,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B19,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B2,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B22,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B23,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B24,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B25,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B26,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B27,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B28,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B29,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B3,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B30,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B31,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B32,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B33,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B34,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B35,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B36,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B37,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B38,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
B4,TKC01 Birmingham East,Component Channel,One-person,1 working days,Monday|Tuesday|Wednesday|Thursday|Friday
